AA948BB7.BBS,1. Proud Mary- CCR Copy
2D04B1BF.BBS,2. Too Sweet by Hozier
9B3E3AC6.BBS,3. Don't Dream It's Over - Crowded House
2A3A1B54.BBS,4. Modern Love - David Bowie
52D8A8AE.BBS,5. Dancing in the Dark - Bruce Springsteen
63DBF3EC.BBS,6. Just What I Needed (The Cars)
0BF9BCE8.BBS,7. Sittin on the Dock of the Bay - Otis Redding
80B3CC57.BBS,8. Adore You by Harry Styles
6774DF9A.BBS,9. Brown Eyed Girl- Van Morrison Copy
490EB6FE.BBS,10. It's a Shame About Ray - Lemonheads
0034CD62.BBS,11. Stand By Me- Ben E King Copy
852D6B18.BBS,12. Young Americans - David Bowie
0D42A9C6.BBS,13. In Your Eyes by Peter Gabriel
65D9C799.BBS,14. I Want To Hold Your Hand- The Beatles Copy
EB7CBE3A.BBS,15. In My Life - The Beatles
3ED81F58.BBS,16. Mushaboom - Feist
D64AAE0C.BBS,17. Mine Forever by Lord Huron
E2FAC92C.BBS,18. Motion Sickness by Phoebe Bridgers
0DABCB99.BBS,19. Overkill by Men at Work
EA33BF26.BBS,20. Save Me - Aimee Mann
14F9A7AD.BBS,21. Box of Rain - Grateful Dead
371EADCC.BBS,22. Paint It Black Copy
2A19452E.BBS,23. Pinball Wizard by The Who
0B2F128F.BBS,24. Creep- Radiohead Copy
308EDDC3.BBS,25. Black Hole Sun- Soundgarden (simple)
1B9D0D89.BBS,26. Every Breath You Take- The Police Copy
