D7D95B81.BBS,1. Clocks- Coldplay Copy
C3BE2B90.BBS,2. Talk- Coldplay Copy
74B071BC.BBS,3. God Put A Smile On Your Face- Coldplay Copy
0BE3D636.BBS,4. Speed Of Sound- Coldplay Copy Copy
EF03D788.BBS,5. In My Place- Coldplay Copy Copy
EB41FFAF.BBS,6. Yellow- Coldplay Copy
53750244.BBS,7. X & Y- Coldplay Copy
F27E661D.BBS,8. Trouble- Coldplay Copy
1D6D01E7.BBS,9. The Scientist- Coldplay Copy
75C5D234.BBS,10. The Hardest Part- Coldplay Copy
603E7428.BBS,11. Speed Of Sound- Coldplay Copy
FF1BDE1E.BBS,12. In My Place- Coldplay Copy
BDBC12C7.BBS,13. The Hardest Part- Coldplay
20B1C2C4.BBS,14. Suzie Q- CCR Copy
553D7955.BBS,15. Who'll Stop The Rain- CCR Copy
7FF86BDF.BBS,16. I Heard It Trough The Grapevine- CCR Copy
2BEB9092.BBS,17. Proud Mary- CCR Copy
745CE784.BBS,18. Have You Ever Seen The Rain- CCR Copy
FD5F672E.BBS,19. Down On The Corner- CCR Copy
939A235B.BBS,20. Why Georgia- John Mayer Copy
36F869FC.BBS,21. You May Be Right- Billy Joel Copy
272236C5.BBS,22. Uptown Girl- Billy Joel Copy
E68A3C3F.BBS,23. Moving Out- Billy Joel Copy
928CAA64.BBS,24. Dreams- Fleetwood Mac Copy
1B012CF5.BBS,25. Little Lies- Fleetwood Mac Copy
34E84D52.BBS,26. Heart Of Gold- Neil Young Copy
188BBB97.BBS,27. Feelin' Stronger Every Day- Chicago Copy
1E29F2AC.BBS,28. You're The Inspiration- Chicago Copy
1126F632.BBS,29. If You Leave Me Now- Chicago Copy
CA65473F.BBS,30. The Wind Cries Mary- Jimi Hendrix Copy
A4068864.BBS,31. Crosstown Traffic- Jimi Hendrix Copy
66945092.BBS,32. Vodoo Child- Jimi Hendrix Copy
7D7F381B.BBS,33. Purple Haze- Jimi Hendrix Copy
B712887C.BBS,34. Hey Joe- Jimi Hendrix Copy
2F61D189.BBS,35. The Day I Tried To Live- Soundgarden Copy
41C6D646.BBS,36. Burden In My Hand- Soundgarden Copy
01E2CC2F.BBS,37. Fell On Black Days- Soundgarden Copy
B45C341D.BBS,38. Light My Fire- The Doors Copy
38567C37.BBS,39. People Are Strange- The Doors Copy
FE33D553.BBS,40. Hello I Love You- The Doors Copy
B7E8CDD4.BBS,41. Don't Stand So Close To Me- The Police Copy
5BE95990.BBS,42. Every Little Thing She Does Is Magic- The Police Copy
9FEF8A41.BBS,43. Wrapped Around Your Finger- The Police Copy
7938E6A0.BBS,44. King Of Pain- The Police Copy
6D126857.BBS,45. Sweet Home Alabama- Lynyard Skynyard Copy
6477A269.BBS,46. Brown Eyed Girl- Van Morrison Copy
96AA8E57.BBS,47. Creep- Radiohead Copy
D775B776.BBS,48. Honky Tonk Woman- The Rolling Stones Copy
DB799762.BBS,49. Crazy Little Thing Called Love- Queen Copy
1A2D2359.BBS,50. Summer of 69- Brian Adams Copy
7C9B27DE.BBS,51. Come Together- Beatles Copy
328FC5CC.BBS,52. Hard To Handle- The Balck Crowes Copy
0171CD4F.BBS,53. Happy- Pharell Williams Copy
AB6E3885.BBS,54. Imagine- John Lennon Copy
74AC9AD4.BBS,55. Comfortably Numb- Pink Floyd Copy
4595C0C5.BBS,56. Oh Pretty Woman- Roy Orbison Copy
182FD423.BBS,57. Give Me One Reason- Tracy Chapman Copy
1F7BC833.BBS,58. Africa- Toto Copy
481EC89C.BBS,59. My Girl- Tempations Copy
EF193485.BBS,60. Sam Cooke - Cupid
